src,Y111,Y112,Y113,Y114,Y121,Y122,Y123,Y211,Y212,Y213,Y214,Y221,Y222,Y223,Y224,Y231,Y232,Y233,Y234,Y311,Y312,Y313,Y314,Y321,Y322,Y323,Y324,Y331,Y332,Y333,Y334,Y411,Y412,Y413,Y414,Y421,Y422,Y423,Y511,Y512,Y513,Y514,Y521,Y522,Y523,Y524,Y531,Y532,Y533,Y534,Y611,Y612,Y613,Y621,Y622,Y623,Y624,Y711,Y712,Y713,Y714,Y721,Y722,Y723,Y724,Y731,Y732,Y733,Y734,Y811,Y812,Y813,Y814,Y821,Y822,Y823,Y911,Y912,Y913,Y921,Y922,Y923,Y924,label
7404,0,0,0,0,0,55,0,0,0,0,0,0,99,11,0,0,10,1,0,0,99,11,0,0,0,0,0,0,0,0,0,0,21,2,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7405,0,0,0,0,0,45,0,0,0,0,0,0,129,0,0,0,10,2,0,0,129,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7406,0,0,0,0,0,54,9,0,0,0,0,1,98,11,9,9,31,1,2,1,98,11,9,0,0,0,0,0,0,0,0,10,43,3,1,0,36,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7407,0,0,0,0,1,36,18,80,0,0,0,18,9,81,2,20,51,2,0,18,9,81,2,0,0,0,0,0,0,0,0,20,60,7,2,35,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7408,0,0,0,0,0,45,0,0,0,0,0,0,110,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7409,0,0,0,0,45,0,0,9,0,0,0,90,0,0,20,0,0,0,0,90,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,36,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7410,0,0,0,0,0,36,0,1,0,0,0,0,26,63,0,0,33,2,0,0,35,63,0,0,0,0,0,0,0,0,0,0,37,13,0,21,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1
7411,0,0,0,0,36,0,0,0,0,0,0,63,2,7,18,0,10,1,0,72,2,8,18,0,0,0,0,0,0,0,0,9,3,6,1,21,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0
7412,0,0,0,0,0,55,0,0,0,0,0,0,88,22,0,0,10,1,0,0,88,22,0,0,0,0,0,0,0,0,0,0,21,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7413,0,0,0,0,0,45,0,8,0,0,0,0,70,60,0,0,11,0,0,0,70,60,0,0,0,0,0,0,0,0,0,0,25,0,0,15,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
